Level,Comment,Users Start Level,Retain Level,%Delta ,Play/User,Drop From Start To Win,Win Rate,P-rate,%User Ad Reward,Ads Reward/User,%User Ad Inter,Ads Inter/User,%User Revive,Avg Revive,AVG Lose Play Time,AVG Win Playtime,AVG Play Time,Playtime/ User Win,AVG Lose Play Time,AVG Win Playtime,AVG Play Time,
1,,3115,100.00%,100.00%,1.04,1.92%,96.83%,0.00%,0.03%,0.00,0.54%,0.01,0.00%,-,-,12:00:17 AM,12:00:17 AM,12:00:18 AM,-,17,17,18
2,,3070,98.56%,-1.44%,1.03,1.53%,97.59%,0.00%,0.00%,0.00,0.33%,0.00,0.13%,1.00,12:00:12 AM,12:00:14 AM,12:00:14 AM,12:00:14 AM,12,14,14,14
3,,3031,97.30%,-1.25%,1.03,1.41%,97.14%,0.00%,0.00%,0.00,0.30%,0.00,0.16%,1.00,12:02:05 AM,12:00:26 AM,12:00:26 AM,12:00:27 AM,125,26,26,27
4,"Inter sớm, kéo Ret màn 5 -22%",3107,99.74%,2.44%,1.39,1.83%,96.34%,0.00%,0.00%,0.00,90.54%,1.22,0.19%,1.33,12:00:43 AM,12:00:33 AM,12:00:33 AM,12:00:34 AM,43,33,33,34
5,,2401,77.08%,-22.66%,1.13,2.79%,91.59%,0.00%,0.00%,0.00,7.25%,0.11,1.79%,1.12,12:05:32 AM,12:01:01 AM,12:01:10 AM,12:01:12 AM,332,61,70,72
6,"Lose Time dài, ad nhiều màn 7",2330,74.80%,-2.28%,1.27,3.86%,87.18%,0.00%,0.09%,0.00,30.59%,0.43,4.25%,1.27,12:12:28 AM,12:01:32 AM,12:02:24 AM,12:02:30 AM,748,92,144,150
7,"Ad nhiều, Drop nhiều, kéo Ret màn 8 -8%",2166,69.53%,-5.26%,1.33,4.29%,87.22%,0.00%,0.14%,0.00,60.65%,0.79,4.20%,1.40,12:01:44 AM,12:01:20 AM,12:01:27 AM,12:01:30 AM,104,80,87,90
8,,1890,60.67%,-8.86%,1.19,2.22%,94.73%,0.00%,0.11%,0.00,31.77%,0.40,0.69%,1.00,12:01:00 AM,12:00:57 AM,12:00:57 AM,12:00:58 AM,60,57,57,58
9,,1790,57.46%,-3.21%,1.25,2.12%,94.67%,0.00%,0.06%,0.00,26.31%,0.39,0.95%,1.29,12:03:07 AM,12:01:18 AM,12:01:20 AM,12:01:22 AM,187,78,80,82
10,"Khó, kéo Ret màn 11 -8%",1729,55.51%,-1.96%,1.53,5.32%,78.49%,0.00%,1.79%,0.02,69.29%,0.99,10.12%,1.62,12:05:08 AM,12:02:12 AM,12:03:19 AM,12:03:30 AM,308,132,199,210
11,,1465,47.03%,-8.48%,1.13,2.18%,91.93%,0.00%,1.23%,0.02,27.69%,0.33,2.25%,1.33,12:02:20 AM,12:02:23 AM,12:02:27 AM,12:02:30 AM,140,143,147,150
12,,1405,45.10%,-1.93%,1.20,1.99%,90.71%,0.00%,1.14%,0.01,48.19%,0.59,4.20%,1.39,12:01:06 AM,12:02:08 AM,12:02:12 AM,12:02:15 AM,66,128,132,135
13,,1342,43.08%,-2.02%,1.10,1.64%,94.84%,0.00%,0.52%,0.01,35.39%,0.41,0.97%,1.08,12:01:04 AM,12:01:17 AM,12:01:17 AM,12:01:19 AM,64,77,77,79
14,"Khó, Inter cao, kéo Ret màn 15 -4%",1330,42.70%,-0.39%,1.61,5.49%,66.12%,0.00%,6.17%,0.08,66.92%,0.99,15.56%,1.75,12:01:48 AM,12:01:59 AM,12:02:42 AM,12:02:52 AM,108,119,162,172
15,,1177,37.78%,-4.91%,1.05,1.36%,96.67%,0.00%,2.80%,0.03,14.87%,0.17,0.25%,1.00,12:00:15 AM,12:00:45 AM,12:00:45 AM,12:00:45 AM,15,45,45,45
16,,1138,36.53%,-1.25%,1.24,4.22%,82.26%,0.00%,8.61%,0.14,42.27%,0.49,2.90%,1.06,12:08:52 AM,12:00:59 AM,12:02:10 AM,12:02:16 AM,532,59,130,136
17,"Khó, Inter cao, kéo Ret màn 18 -4%",1090,34.99%,-1.54%,1.53,5.60%,68.28%,0.00%,11.19%,0.20,73.67%,0.97,4.13%,1.09,12:04:09 AM,12:02:07 AM,12:03:30 AM,12:03:43 AM,249,127,210,223
18,,954,30.63%,-4.37%,1.04,0.52%,97.09%,0.00%,0.94%,0.01,14.68%,0.16,0.31%,1.00,12:00:52 AM,12:01:22 AM,12:01:23 AM,12:01:23 AM,52,82,83,83
19,,938,30.11%,-0.51%,1.16,0.96%,93.55%,0.00%,3.30%,0.04,39.87%,0.50,0.85%,1.00,12:14:29 AM,12:01:08 AM,12:01:34 AM,12:01:35 AM,869,68,94,95
20,,913,29.31%,-0.80%,1.26,1.86%,86.55%,0.00%,3.61%,0.05,72.73%,0.86,0.99%,1.00,12:05:44 AM,12:02:53 AM,12:03:31 AM,12:03:35 AM,344,173,211,215
21,,830,26.65%,-2.66%,1.05,0.24%,98.39%,0.00%,0.36%,0.00,17.83%,0.21,0.12%,1.00,12:00:20 AM,12:01:49 AM,12:01:49 AM,12:01:49 AM,20,109,109,109
22,,835,26.81%,0.16%,1.31,2.03%,82.40%,0.00%,5.86%,0.10,71.53%,0.86,2.27%,1.32,12:04:55 AM,12:02:13 AM,12:02:53 AM,12:02:57 AM,295,133,173,177
23,"Khó nhất, Drop nhiều, Monet tốt nhưng hy sinh Ret màn 24 -3%",797,25.59%,-1.22%,1.77,7.90%,57.14%,0.00%,14.05%,0.25,67.00%,0.99,5.90%,1.19,12:04:34 AM,12:03:34 AM,12:06:10 AM,12:06:41 AM,274,214,370,401
24,,700,22.47%,-3.11%,1.10,1.00%,95.85%,0.00%,1.71%,0.03,27.86%,0.34,0.57%,1.50,12:02:08 AM,12:00:52 AM,12:00:54 AM,12:00:54 AM,128,52,54,54
25,,687,22.05%,-0.42%,1.09,0.73%,95.73%,0.00%,1.02%,0.01,43.23%,0.48,0.58%,1.00,12:02:28 AM,12:01:04 AM,12:01:06 AM,12:01:07 AM,148,64,66,67
26,,687,22.05%,0.00%,1.29,1.60%,85.96%,0.00%,3.63%,0.05,71.80%,0.87,1.74%,1.08,12:01:55 AM,12:02:56 AM,12:03:08 AM,12:03:11 AM,115,176,188,191
27,,652,20.93%,-1.12%,1.32,1.84%,77.91%,0.00%,10.28%,0.16,50.92%,0.61,3.83%,1.16,12:05:27 AM,12:01:54 AM,12:03:11 AM,12:03:14 AM,327,114,191,194
28,,636,20.42%,-0.51%,1.34,4.55%,75.29%,0.00%,10.19%,0.15,69.44%,0.82,3.45%,1.05,12:01:18 AM,12:02:10 AM,12:02:27 AM,12:02:34 AM,78,130,147,154
29,,591,18.97%,-1.44%,1.20,1.69%,86.80%,0.00%,3.21%,0.04,51.95%,0.60,2.71%,1.06,12:01:48 AM,12:02:37 AM,12:02:47 AM,12:02:50 AM,108,157,167,170
30,,561,18.01%,-0.96%,1.06,1.43%,94.44%,0.00%,8.56%,0.11,20.68%,0.22,0.00%,-,#VALUE!,12:01:03 AM,12:01:03 AM,12:01:03 AM,-,63,63,63
31,,554,17.78%,-0.22%,1.10,1.08%,94.93%,0.00%,3.97%,0.07,40.25%,0.46,0.18%,2.00,12:02:23 AM,12:00:55 AM,12:00:59 AM,12:00:59 AM,143,55,59,59
32,,547,17.56%,-0.22%,1.40,4.02%,73.56%,0.00%,8.04%,0.15,70.38%,0.87,2.56%,1.07,12:02:01 AM,12:01:52 AM,12:02:23 AM,12:02:29 AM,121,112,143,149
33,,527,16.92%,-0.64%,1.29,2.85%,81.32%,0.00%,7.21%,0.09,72.68%,0.87,3.98%,1.05,12:07:47 AM,12:02:02 AM,12:03:15 AM,12:03:21 AM,467,122,195,201
34,,507,16.28%,-0.64%,1.18,1.97%,88.17%,0.00%,4.13%,0.06,59.06%,0.67,2.36%,1.17,12:04:24 AM,12:02:54 AM,12:03:18 AM,12:03:22 AM,264,174,198,202
35,,480,15.41%,-0.87%,1.04,0.21%,98.00%,0.00%,0.21%,0.00,32.43%,0.34,0.00%,-,12:00:33 AM,12:00:51 AM,12:00:52 AM,12:00:52 AM,33,51,52,52
36,,475,15.25%,-0.16%,1.17,0.63%,89.19%,0.00%,3.16%,0.04,52.42%,0.59,1.68%,1.00,12:01:16 AM,12:01:04 AM,12:01:11 AM,12:01:11 AM,76,64,71,71
37,,458,14.70%,-0.55%,1.09,0.87%,96.58%,0.00%,0.87%,0.01,36.90%,0.42,0.22%,1.00,12:00:38 AM,12:00:57 AM,12:00:58 AM,12:00:59 AM,38,57,58,59
38,"Khó, monet tốt",456,14.64%,-0.06%,1.62,4.17%,62.96%,0.00%,10.75%,0.18,64.69%,0.85,6.58%,1.00,12:01:09 AM,12:01:46 AM,12:02:20 AM,12:02:26 AM,69,106,140,146
39,,430,13.80%,-0.83%,1.03,0.93%,96.85%,0.00%,1.16%,0.02,33.72%,0.35,0.47%,1.00,12:00:49 AM,12:01:07 AM,12:01:08 AM,12:01:08 AM,49,67,68,68
40,,432,13.87%,0.06%,1.11,0.69%,95.00%,0.00%,1.85%,0.02,60.19%,0.67,0.46%,1.00,12:01:21 AM,12:01:14 AM,12:01:17 AM,12:01:17 AM,81,74,77,77
41,,413,13.26%,-0.61%,1.30,1.94%,82.68%,0.00%,5.33%,0.06,63.44%,0.78,2.18%,1.00,12:01:59 AM,12:01:40 AM,12:02:00 AM,12:02:02 AM,119,100,120,122
42,,396,12.71%,-0.55%,1.09,0.50%,94.46%,0.00%,2.02%,0.02,41.31%,0.45,1.26%,1.00,12:00:58 AM,12:01:19 AM,12:01:21 AM,12:01:22 AM,58,79,81,82
43,"Khó, Drop nhiều",392,12.58%,-0.13%,1.43,5.61%,69.57%,0.00%,10.71%,0.17,71.94%,0.94,5.36%,1.19,12:05:02 AM,12:02:14 AM,12:03:55 AM,12:04:09 AM,302,134,235,249
44,,352,11.30%,-1.28%,1.18,2.56%,85.34%,0.00%,5.40%,0.09,39.77%,0.45,2.27%,1.00,12:00:56 AM,12:01:30 AM,12:01:37 AM,12:01:40 AM,56,90,97,100
45,,349,11.20%,-0.10%,1.21,0.86%,86.73%,0.00%,5.73%,0.08,72.78%,0.85,4.01%,1.21,12:03:56 AM,12:01:47 AM,12:02:11 AM,12:02:12 AM,236,107,131,132
46,,336,10.79%,-0.42%,1.23,0.60%,83.54%,0.00%,3.87%,0.07,44.05%,0.53,2.08%,1.14,12:01:50 AM,12:03:34 AM,12:03:53 AM,12:03:54 AM,110,214,233,234
47,,335,10.75%,-0.03%,1.54,2.09%,69.19%,0.00%,8.66%,0.12,76.12%,1.01,5.07%,1.12,12:03:03 AM,12:02:50 AM,12:04:06 AM,12:04:11 AM,183,170,246,251
48,"Khó, Block Drop nhiều",327,10.50%,-0.26%,1.64,4.28%,63.55%,0.00%,11.31%,0.17,66.67%,0.93,4.59%,1.13,12:02:39 AM,12:03:56 AM,12:05:11 AM,12:05:25 AM,159,236,311,325
49,,312,10.02%,-0.48%,1.24,1.60%,85.01%,0.00%,7.69%,0.13,64.42%,0.77,4.17%,1.08,12:18:46 AM,12:02:09 AM,12:04:55 AM,12:05:00 AM,1126,129,295,300
50,,311,9.98%,-0.03%,1.22,0.64%,84.92%,0.00%,4.50%,0.06,50.16%,0.57,2.25%,1.00,12:01:02 AM,12:02:19 AM,12:02:26 AM,12:02:27 AM,62,139,146,147
