Level_Name,Win Rate
lv1.json,96.83%
lv2.json,97.59%
lv3.json,97.14%
lv4.json,96.34%
lv5.json,91.59%
lv6.json,87.18%
lv7.json,87.22%
lv8.json,94.73%
lv9.json,94.67%
lv10.json,78.49%
lv11.json,91.93%
lv12.json,90.71%
lv13.json,94.84%
lv14.json,66.12%
lv15.json,96.67%
lv16.json,82.26%
lv17.json,68.28%
lv18.json,97.09%
lv19.json,93.55%
lv20.json,86.55%
lv21.json,98.39%
lv22.json,82.40%
lv23.json,57.14%
lv24.json,95.85%
lv25.json,95.73%
lv26.json,85.96%
lv27.json,77.91%
lv28.json,75.29%
lv29.json,86.80%
lv30.json,94.44%
lv31.json,94.93%
lv32.json,73.56%
lv33.json,81.32%
lv34.json,88.17%
lv35.json,98.00%
lv36.json,89.19%
lv37.json,96.58%
lv38.json,62.96%
lv39.json,96.85%
lv40.json,95.00%
lv41.json,82.68%
lv42.json,94.46%
lv43.json,69.57%
lv44.json,85.34%
lv45.json,86.73%
lv46.json,83.54%
lv47.json,69.19%
lv48.json,63.55%
lv49.json,85.01%
lv50.json,84.92%