Level_Name,difficulty,Win Rate
lv1.json,1,96.83
lv2.json,1,97.59
lv3.json,1,97.14
lv4.json,1,96.34
lv5.json,1,91.59
lv6.json,2,87.18
lv7.json,2,87.22
lv8.json,2,94.73
lv9.json,2,94.67
lv10.json,3,78.49
lv11.json,2,91.93
lv12.json,2,90.71
lv13.json,2,94.84
lv14.json,2,66.12
lv15.json,1,96.67
lv16.json,2,82.26
lv17.json,3,68.28
lv18.json,1,97.09
lv19.json,2,93.55
lv20.json,3,86.55
lv21.json,1,98.39
lv22.json,3,82.40
lv23.json,3,57.14
lv24.json,2,95.85
lv25.json,2,95.73
lv26.json,3,85.96
lv27.json,2,77.91
lv28.json,3,75.29
lv29.json,4,86.80
lv30.json,1,94.44
lv31.json,2,94.93
lv32.json,3,73.56
lv33.json,3,81.32
lv34.json,4,88.17
lv35.json,2,98.00
lv36.json,3,89.19
lv37.json,2,96.58
lv38.json,3,62.96
lv39.json,3,96.85
lv40.json,3,95.00
lv41.json,3,82.68
lv42.json,3,94.46
lv43.json,3,69.57
lv44.json,2,85.34
lv45.json,3,86.73
lv46.json,2,83.54
lv47.json,3,69.19
lv48.json,3,63.55
lv49.json,3,85.01
lv50.json,3,84.92